order_item_id,order_id,product_id,quantity,discount,net_sales,profit
1,ORD000001,PROD0052,5,0.0,1933.9,743.05
2,ORD000002,PROD0110,3,0.0,60.57,15.78
3,ORD000002,PROD0150,1,0.15,117.39,39.26
4,ORD000003,PROD0130,5,0.0,422.25,205.35
5,ORD000004,PROD0123,1,0.0,231.18,79.98
6,ORD000005,PROD0104,1,0.05,245.13,64.79
7,ORD000006,PROD0148,4,0.0,179.32,54.64
8,ORD000006,PROD0049,2,0.0,1745.58,728.08
9,ORD000007,PROD0027,1,0.05,544.95,122.73
10,ORD000008,PROD0078,1,0.0,102.62,35.42
11,ORD000008,PROD0026,5,0.2,2721.12,662.32
12,ORD000009,PROD0069,4,0.15,257.28,59.68
13,ORD000010,PROD0134,1,0.05,95.83,28.17
14,ORD000011,PROD0021,5,0.1,5343.48,1092.88
15,ORD000012,PROD0053,3,0.05,1841.56,799.27
16,ORD000013,PROD0105,2,0.1,523.94,112.82
17,ORD000013,PROD0098,5,0.1,404.59,99.84
18,ORD000014,PROD0091,4,0.0,851.84,242.56
19,ORD000015,PROD0139,1,0.2,127.82,36.85
20,ORD000015,PROD0098,1,0.1,80.92,19.97
21,ORD000016,PROD0100,3,0.0,375.15,180.48
22,ORD000016,PROD0111,5,0.2,1068.0,299.75
23,ORD000017,PROD0137,2,0.1,148.18,36.52
24,ORD000017,PROD0112,1,0.0,203.28,88.92
25,ORD000017,PROD0034,2,0.15,542.28,112.44
26,ORD000017,PROD0029,5,0.0,1232.3,614.05
27,ORD000018,PROD0148,1,0.05,42.59,11.42
28,ORD000019,PROD0131,4,0.0,422.72,185.88
29,ORD000019,PROD0020,5,0.0,899.75,325.2
30,ORD000020,PROD0057,3,0.0,1096.83,521.64
31,ORD000021,PROD0006,3,0.0,1593.03,495.6
32,ORD000021,PROD0087,3,0.0,210.3,53.1
33,ORD000021,PROD0068,2,0.0,167.56,63.28
34,ORD000022,PROD0123,1,0.0,231.18,79.98
35,ORD000023,PROD0100,5,0.0,625.25,300.8
36,ORD000024,PROD0057,4,0.0,1462.44,695.52
37,ORD000025,PROD0078,3,0.1,277.07,75.47
38,ORD000026,PROD0005,3,0.0,2615.13,752.22
39,ORD000027,PROD0114,4,0.05,532.68,239.52
40,ORD000027,PROD0142,3,0.0,263.67,102.99
41,ORD000027,PROD0030,2,0.0,2540.68,1029.04
42,ORD000027,PROD0102,4,0.15,972.64,306.88
43,ORD000028,PROD0097,1,0.0,297.9,84.38
44,ORD000028,PROD0121,2,0.0,62.16,22.32
45,ORD000029,PROD0114,2,0.0,280.36,133.78
46,ORD000029,PROD0129,4,0.0,253.12,88.16
47,ORD000030,PROD0045,5,0.05,2497.5,663.35
48,ORD000030,PROD0076,1,0.0,86.28,29.22
49,ORD000031,PROD0147,4,0.1,716.4,174.96
50,ORD000031,PROD0126,1,0.15,170.76,57.86
51,ORD000031,PROD0013,3,0.0,2698.56,1092.87
52,ORD000032,PROD0054,5,0.0,828.65,328.15
53,ORD000033,PROD0141,4,0.05,348.8,111.4
54,ORD000034,PROD0116,2,0.0,330.88,128.62
55,ORD000035,PROD0136,5,0.05,115.71,52.96
56,ORD000036,PROD0027,4,0.15,1950.34,261.46
57,ORD000037,PROD0034,4,0.0,1275.96,416.28
58,ORD000038,PROD0134,5,0.0,504.35,166.05
59,ORD000038,PROD0122,5,0.1,532.89,129.89
60,ORD000038,PROD0007,4,0.1,3960.14,1209.18
61,ORD000039,PROD0028,4,0.0,3075.64,1063.64
62,ORD000039,PROD0138,5,0.05,854.67,386.32
63,ORD000040,PROD0070,3,0.05,137.57,34.55
64,ORD000041,PROD0004,3,0.0,4190.61,1781.76
65,ORD000041,PROD0055,4,0.05,2894.38,814.86
66,ORD000041,PROD0073,5,0.2,144.96,49.06
67,ORD000042,PROD0088,2,0.0,85.5,21.38
68,ORD000043,PROD0148,1,0.1,40.35,9.18
69,ORD000043,PROD0122,2,0.05,225.0,63.8
70,ORD000043,PROD0050,4,0.0,354.6,154.36
71,ORD000044,PROD0075,2,0.0,104.42,47.36
72,ORD000044,PROD0145,3,0.1,116.29,28.81
73,ORD000044,PROD0060,3,0.15,2148.48,416.76
74,ORD000045,PROD0104,5,0.05,1225.64,323.94
75,ORD000045,PROD0013,5,0.15,3822.96,1146.81
76,ORD000046,PROD0090,4,0.05,362.22,148.98
77,ORD000046,PROD0080,2,0.0,131.2,49.36
78,ORD000046,PROD0009,1,0.0,927.49,321.41
79,ORD000047,PROD0044,4,0.0,1981.68,534.84
80,ORD000048,PROD0122,2,0.0,236.84,75.64
81,ORD000049,PROD0091,3,0.0,638.88,181.92
82,ORD000049,PROD0090,2,0.05,181.11,74.49
83,ORD000049,PROD0036,2,0.1,682.76,126.68
84,ORD000050,PROD0142,1,0.0,87.89,34.33
85,ORD000050,PROD0115,4,0.05,303.09,137.37
86,ORD000050,PROD0079,3,0.0,189.93,85.71
87,ORD000051,PROD0009,4,0.1,3338.96,914.64
88,ORD000052,PROD0105,2,0.1,523.94,112.82
89,ORD000052,PROD0075,5,0.05,248.0,105.35
90,ORD000053,PROD0093,2,0.05,466.49,150.99
91,ORD000053,PROD0141,2,0.0,183.58,64.88
92,ORD000054,PROD0115,2,0.1,143.57,60.71
93,ORD000055,PROD0044,4,0.15,1684.43,237.59
94,ORD000055,PROD0133,5,0.0,1172.35,547.5
95,ORD000055,PROD0118,5,0.0,768.8,340.4
96,ORD000056,PROD0042,5,0.0,3332.45,1008.85
97,ORD000056,PROD0023,4,0.0,5450.2,1392.28
98,ORD000057,PROD0052,3,0.0,1160.34,445.83
99,ORD000058,PROD0007,3,0.0,3300.12,1236.9
100,ORD000059,PROD0016,1,0.0,1122.5,472.38
101,ORD000060,PROD0058,1,0.0,341.51,145.12
102,ORD000060,PROD0077,4,0.2,90.75,25.83
103,ORD000061,PROD0011,4,0.0,4744.56,1837.88
104,ORD000062,PROD0044,5,0.05,2353.24,544.69
105,ORD000062,PROD0012,2,0.0,1703.8,691.98
106,ORD000062,PROD0102,1,0.1,257.46,91.02
107,ORD000063,PROD0023,3,0.2,3270.12,226.68
108,ORD000064,PROD0111,4,0.0,1068.0,453.4
109,ORD000065,PROD0067,1,0.0,50.24,22.64
110,ORD000065,PROD0054,5,0.15,704.35,203.85
111,ORD000065,PROD0074,1,0.0,66.19,26.17
112,ORD000066,PROD0031,4,0.0,1417.92,419.88
113,ORD000066,PROD0067,1,0.0,50.24,22.64
114,ORD000067,PROD0052,5,0.1,1740.51,549.66
115,ORD000068,PROD0024,3,0.0,887.7,359.37
116,ORD000069,PROD0104,5,0.1,1161.13,259.43
117,ORD000070,PROD0143,4,0.0,289.8,77.92
118,ORD000071,PROD0099,4,0.0,628.2,223.4
119,ORD000071,PROD0051,1,0.0,537.55,176.36
120,ORD000072,PROD0027,4,0.1,2065.07,376.19
121,ORD000072,PROD0033,3,0.1,1276.53,504.36
122,ORD000072,PROD0081,4,0.0,222.88,64.64
123,ORD000072,PROD0074,3,0.0,198.57,78.51
124,ORD000073,PROD0122,4,0.0,473.68,151.28
125,ORD000074,PROD0124,4,0.0,141.48,67.2
126,ORD000075,PROD0050,2,0.1,159.57,59.45
127,ORD000075,PROD0075,1,0.0,52.21,23.68
128,ORD000076,PROD0110,5,0.0,100.95,26.3
129,ORD000076,PROD0115,1,0.1,71.78,30.35
130,ORD000077,PROD0087,5,0.05,332.97,70.97
131,ORD000078,PROD0049,2,0.0,1745.58,728.08
132,ORD000078,PROD0053,1,0.0,646.16,298.73
133,ORD000079,PROD0089,5,0.15,205.45,35.25
134,ORD000080,PROD0115,5,0.0,398.8,191.65
135,ORD000080,PROD0041,4,0.0,776.52,329.48
136,ORD000081,PROD0059,2,0.0,197.04,81.62
137,ORD000081,PROD0040,4,0.0,3006.2,905.12
138,ORD000081,PROD0035,4,0.0,2884.88,1207.4
139,ORD000081,PROD0007,2,0.1,1980.07,604.59
140,ORD000082,PROD0015,1,0.0,273.62,88.13
141,ORD000082,PROD0087,5,0.0,350.5,88.5
142,ORD000082,PROD0115,3,0.15,203.39,79.1
143,ORD000083,PROD0083,1,0.1,12.24,4.68
144,ORD000083,PROD0024,5,0.05,1405.52,524.97
145,ORD000083,PROD0068,4,0.0,335.12,126.56
146,ORD000084,PROD0032,5,0.1,862.29,306.44
147,ORD000084,PROD0014,1,0.15,1026.1,207.3
148,ORD000085,PROD0112,3,0.15,518.36,175.28
149,ORD000086,PROD0063,3,0.0,241.35,94.59
150,ORD000086,PROD0005,4,0.05,3312.5,828.62
151,ORD000086,PROD0073,4,0.0,144.96,68.24
152,ORD000087,PROD0062,5,0.05,168.62,61.92
153,ORD000088,PROD0055,3,0.05,2170.79,611.15
154,ORD000089,PROD0100,3,0.15,318.88,124.21
155,ORD000090,PROD0071,3,0.0,298.53,96.57
156,ORD000090,PROD0074,4,0.15,225.05,64.97
157,ORD000090,PROD0122,1,0.2,94.74,14.14
158,ORD000091,PROD0018,4,0.1,713.66,299.86
159,ORD000092,PROD0079,5,0.05,300.72,127.02
160,ORD000092,PROD0074,2,0.0,132.38,52.34
161,ORD000093,PROD0102,4,0.1,1029.85,364.09
162,ORD000094,PROD0090,5,0.1,428.94,162.39
163,ORD000094,PROD0026,1,0.0,680.28,268.52
164,ORD000094,PROD0009,5,0.0,4637.45,1607.05
165,ORD000095,PROD0091,5,0.0,1064.8,303.2
166,ORD000095,PROD0009,2,0.15,1576.73,364.57
167,ORD000096,PROD0142,1,0.0,87.89,34.33
168,ORD000097,PROD0020,3,0.0,539.85,195.12
169,ORD000097,PROD0027,4,0.05,2179.79,490.91
170,ORD000098,PROD0118,1,0.0,153.76,68.08
171,ORD000099,PROD0054,4,0.05,629.77,229.37
172,ORD000100,PROD0034,3,0.1,861.27,216.51
173,ORD000101,PROD0115,4,0.0,319.04,153.32
174,ORD000102,PROD0103,2,0.15,381.92,105.76
175,ORD000102,PROD0051,2,0.05,1021.34,298.96
176,ORD000103,PROD0127,1,0.15,62.32,14.64
177,ORD000104,PROD0111,4,0.15,907.8,293.2
178,ORD000104,PROD0018,2,0.05,376.66,169.76
179,ORD000105,PROD0138,3,0.1,485.81,204.8
180,ORD000106,PROD0006,4,0.15,1805.43,342.19
181,ORD000107,PROD0051,3,0.05,1532.02,448.45
182,ORD000108,PROD0025,1,0.0,486.64,183.33
183,ORD000109,PROD0147,3,0.05,567.15,161.07
184,ORD000109,PROD0097,5,0.05,1415.02,347.42
185,ORD000109,PROD0089,3,0.05,137.77,35.65
186,ORD000109,PROD0043,4,0.0,3569.48,1357.08
187,ORD000110,PROD0123,3,0.0,693.54,239.94
188,ORD000110,PROD0084,3,0.0,287.64,103.14
189,ORD000111,PROD0027,1,0.1,516.27,94.05
190,ORD000112,PROD0108,3,0.05,93.65,28.94
191,ORD000112,PROD0076,1,0.05,81.97,24.91
192,ORD000113,PROD0137,4,0.0,329.28,105.96
193,ORD000114,PROD0043,5,0.1,4015.67,1250.17
194,ORD000114,PROD0111,3,0.1,720.9,259.95
195,ORD000115,PROD0130,4,0.15,287.13,113.61
196,ORD000115,PROD0065,3,0.05,29.9,12.47
197,ORD000116,PROD0120,5,0.0,635.8,188.6
198,ORD000116,PROD0012,1,0.0,851.9,345.99
199,ORD000116,PROD0102,3,0.1,772.39,273.07
200,ORD000117,PROD0045,3,0.05,1498.5,398.01
201,ORD000117,PROD0099,2,0.0,314.1,111.7
202,ORD000117,PROD0146,3,0.0,160.5,42.0
203,ORD000118,PROD0031,5,0.0,1772.4,524.85
204,ORD000119,PROD0116,5,0.05,785.84,280.19
205,ORD000120,PROD0137,2,0.05,156.41,44.75
206,ORD000121,PROD0111,3,0.0,801.0,340.05
207,ORD000122,PROD0104,2,0.0,516.06,155.38
208,ORD000123,PROD0051,4,0.0,2150.2,705.44
209,ORD000123,PROD0029,2,0.1,443.63,196.33
210,ORD000123,PROD0116,4,0.0,661.76,257.24
211,ORD000124,PROD0045,1,0.0,525.79,158.96
212,ORD000125,PROD0149,2,0.05,372.95,173.77
213,ORD000125,PROD0094,2,0.0,374.24,171.36
214,ORD000126,PROD0020,5,0.0,899.75,325.2
215,ORD000127,PROD0090,4,0.0,381.28,168.04
216,ORD000128,PROD0049,3,0.2,2094.7,568.45
217,ORD000129,PROD0061,5,0.0,353.55,147.5
218,ORD000129,PROD0081,1,0.05,52.93,13.37
219,ORD000130,PROD0003,3,0.0,4332.39,1530.39
220,ORD000130,PROD0001,1,0.0,1042.42,448.14
221,ORD000131,PROD0085,1,0.0,66.19,23.62
222,ORD000132,PROD0081,5,0.05,264.67,66.87
223,ORD000132,PROD0050,4,0.15,301.41,101.17
224,ORD000133,PROD0043,4,0.0,3569.48,1357.08
225,ORD000134,PROD0027,4,0.0,2294.52,605.64
226,ORD000134,PROD0143,2,0.1,130.41,24.47
227,ORD000134,PROD0033,2,0.0,945.58,430.8
228,ORD000135,PROD0102,1,0.0,286.07,119.63
229,ORD000135,PROD0052,1,0.0,386.78,148.61
230,ORD000136,PROD0015,5,0.0,1368.1,440.65
231,ORD000136,PROD0087,1,0.05,66.59,14.19
232,ORD000137,PROD0140,1,0.0,135.16,60.71
233,ORD000138,PROD0108,4,0.1,118.3,32.02
234,ORD000138,PROD0098,2,0.05,170.83,48.93
235,ORD000139,PROD0082,1,0.05,18.14,8.45
236,ORD000140,PROD0118,2,0.0,307.52,136.16
237,ORD000140,PROD0062,1,0.05,33.73,12.39
238,ORD000141,PROD0027,1,0.0,573.63,151.41
239,ORD000142,PROD0139,5,0.2,639.08,184.23
240,ORD000142,PROD0067,3,0.1,135.65,52.85
241,ORD000143,PROD0123,4,0.15,786.01,181.21
242,ORD000144,PROD0137,2,0.0,164.64,52.98
243,ORD000145,PROD0142,5,0.05,417.48,149.68
244,ORD000145,PROD0026,2,0.15,1156.48,332.96
245,ORD000145,PROD0021,5,0.0,5937.2,1686.6
246,ORD000146,PROD0097,2,0.0,595.8,168.76
247,ORD000146,PROD0114,3,0.0,420.54,200.67
248,ORD000146,PROD0136,1,0.0,24.36,11.81
249,ORD000147,PROD0105,3,0.0,873.24,256.56
250,ORD000148,PROD0086,1,0.0,100.56,41.06
251,ORD000149,PROD0084,2,0.05,182.17,59.17
252,ORD000150,PROD0013,4,0.2,2878.46,737.54
253,ORD000151,PROD0088,3,0.1,115.42,19.24
254,ORD000151,PROD0107,2,0.0,113.14,32.46
255,ORD000152,PROD0088,4,0.05,162.45,34.21
256,ORD000153,PROD0111,2,0.0,534.0,226.7
257,ORD000154,PROD0106,2,0.0,220.8,94.74
258,ORD000155,PROD0113,5,0.05,163.88,50.63
259,ORD000156,PROD0082,3,0.05,54.41,25.34
