order_id,customer_id,order_date,ship_date,ship_mode,order_total
ORD000001,CUST00244,2023-11-01,2023-11-03,Express,1933.9
ORD000002,CUST00699,2024-10-04,2024-10-09,Standard,177.96
ORD000003,CUST00711,2023-02-13,2023-02-15,Express,422.25
ORD000004,CUST01145,2023-01-22,2023-01-24,Express,231.18
ORD000005,CUST00817,2024-07-21,2024-07-26,Standard,245.13
ORD000006,CUST00651,2023-07-25,2023-07-25,Same Day,1924.9
ORD000007,CUST01152,2024-03-25,2024-03-27,Express,544.95
ORD000008,CUST00634,2024-12-16,2024-12-21,Standard,2823.74
ORD000009,CUST00942,2023-07-07,2023-07-07,Same Day,257.28
ORD000010,CUST01156,2023-04-09,2023-04-11,Express,95.83
ORD000011,CUST00061,2024-07-09,2024-07-14,Standard,5343.48
ORD000012,CUST00364,2023-06-14,2023-06-16,Express,1841.56
ORD000013,CUST00854,2024-10-24,2024-10-29,Standard,928.53
ORD000014,CUST01165,2023-03-04,2023-03-09,Standard,851.84
ORD000015,CUST00503,2024-08-20,2024-08-25,Standard,208.74
ORD000016,CUST00432,2024-02-18,2024-02-23,Standard,1443.15
ORD000017,CUST01187,2024-03-30,2024-04-04,Standard,2126.04
ORD000018,CUST00756,2023-03-07,2023-03-09,Express,42.59
ORD000019,CUST00606,2023-12-26,2023-12-31,Standard,1322.47
ORD000020,CUST00230,2023-12-25,2023-12-27,Express,1096.83
ORD000021,CUST00474,2023-08-21,2023-08-26,Standard,1970.89
ORD000022,CUST00804,2024-04-24,2024-04-26,Express,231.18
ORD000023,CUST00725,2023-04-26,2023-05-01,Standard,625.25
ORD000024,CUST00662,2024-12-13,2024-12-15,Express,1462.44
ORD000025,CUST00707,2023-12-02,2023-12-07,Standard,277.07
ORD000026,CUST00360,2024-09-09,2024-09-11,Express,2615.13
ORD000027,CUST00022,2023-05-22,2023-05-24,Express,4309.67
ORD000028,CUST00139,2024-12-11,2024-12-16,Standard,360.06
ORD000029,CUST00217,2024-10-09,2024-10-14,Standard,533.48
ORD000030,CUST00066,2023-06-06,2023-06-08,Express,2583.78
ORD000031,CUST01173,2023-10-20,2023-10-25,Standard,3585.72
