product_id,product_name,category,unit_price,unit_cost
PROD0001,Headphones Basic,Electronics,1042.42,594.28
PROD0002,Tablet Max,Electronics,1004.26,547.16
PROD0003,Headphones Elite,Electronics,1444.13,934.0
PROD0004,Smartwatch Basic,Electronics,1396.87,802.95
PROD0005,Smartphone Elite,Electronics,871.71,620.97
PROD0006,Tablet Lite,Electronics,531.01,365.81
PROD0007,Camera Max,Electronics,1100.04,687.74
PROD0008,Headphones Pro,Electronics,191.64,106.94
PROD0009,Laptop Basic,Electronics,927.49,606.08
PROD0010,Smartwatch Elite,Electronics,1454.93,846.18
PROD0011,Laptop Lite,Electronics,1186.14,726.67
PROD0012,Laptop Lite,Electronics,851.9,505.91
PROD0013,Camera Basic,Electronics,899.52,535.23
PROD0014,Laptop Pro,Electronics,1207.18,818.8
PROD0015,Laptop Elite,Electronics,273.62,185.49
PROD0016,Smartphone Pro,Electronics,1122.5,650.12
PROD0017,Headphones Max,Electronics,57.53,33.2
PROD0018,Laptop Plus,Electronics,198.24,103.45
PROD0019,Smartwatch Pro,Electronics,857.63,538.69
PROD0020,Headphones Basic,Electronics,179.95,114.91
PROD0021,Tablet Pro,Electronics,1187.44,850.12
PROD0022,Laptop Elite,Electronics,650.02,451.63
PROD0023,Tablet Basic,Electronics,1362.55,1014.48
PROD0024,Tablet Lite,Electronics,295.9,176.11
PROD0025,Laptop Pro,Electronics,486.64,303.31
PROD0026,Smartphone Plus,Electronics,680.28,411.76
PROD0027,Headphones Elite,Electronics,573.63,422.22
PROD0028,Camera Plus,Electronics,768.91,503.0
PROD0029,Headphones Plus,Electronics,246.46,123.65
PROD0030,Laptop Max,Electronics,1270.34,755.82
PROD0031,Sofa Elite,Furniture,354.48,249.51
PROD0032,Bed Frame Elite,Furniture,191.62,111.17
PROD0033,Desk Plus,Furniture,472.79,257.39
PROD0034,Bookshelf Plus,Furniture,318.99,214.92
PROD0035,Bed Frame Max,Furniture,721.22,419.37
PROD0036,Sofa Lite,Furniture,379.31,278.04
PROD0037,Bed Frame Basic,Furniture,897.76,489.26
PROD0038,Office Chair Elite,Furniture,861.46,530.15
PROD0039,Desk Elite,Furniture,439.53,251.78
PROD0040,Office Chair Plus,Furniture,751.55,525.27
PROD0041,Sofa Max,Furniture,194.13,111.76
PROD0042,Desk Pro,Furniture,666.49,464.72
PROD0043,Sofa Plus,Furniture,892.37,553.1
PROD0044,Bed Frame Elite,Furniture,495.42,361.71
PROD0045,Sofa Max,Furniture,525.79,366.83
PROD0046,Bed Frame Pro,Furniture,566.93,413.07
PROD0047,Desk Elite,Furniture,619.23,364.57
PROD0048,Bed Frame Elite,Furniture,116.32,86.76
PROD0049,Sofa Plus,Furniture,872.79,508.75
PROD0050,Office Chair Basic,Furniture,88.65,50.06
PROD0051,Bed Frame Lite,Furniture,537.55,361.19
PROD0052,Sofa Elite,Furniture,386.78,238.17
PROD0053,Bed Frame Pro,Furniture,646.16,347.43
PROD0054,Sofa Pro,Furniture,165.73,100.1
PROD0055,Office Chair Max,Furniture,761.68,519.88
PROD0056,Bookshelf Basic,Furniture,361.31,251.5
PROD0057,Sofa Elite,Furniture,365.61,191.73
PROD0058,Sofa Elite,Furniture,341.51,196.39
PROD0059,Office Chair Pro,Furniture,98.52,57.71
PROD0060,Desk Basic,Furniture,842.54,577.24
PROD0061,Jeans Plus,Apparel,70.71,41.21
PROD0062,Sneakers Lite,Apparel,35.5,21.34
PROD0063,Jeans Pro,Apparel,80.45,48.92
PROD0064,Cap Plus,Apparel,107.14,65.61
PROD0065,Sneakers Max,Apparel,10.49,5.81
PROD0066,T-Shirt Basic,Apparel,73.51,51.45
PROD0067,Jeans Pro,Apparel,50.24,27.6
PROD0068,Jacket Elite,Apparel,83.78,52.14
PROD0069,Jacket Basic,Apparel,75.67,49.4
PROD0070,T-Shirt Basic,Apparel,48.27,34.34
